	seed	fold	fnr	fpr	acc
0	0.0	0.0	0.0792090226326	0.054192184519	0.936357498169
1	1.0	0.0	0.0290184489979	0.0437861520498	0.96501916647
2	2.0	0.0	0.0226756169728	0.0526256101813	0.96501916647
3	3.0	0.0	0.0203734046945	0.0446084248852	0.968630135059
4	4.0	0.0	0.0328123989081	0.0306722801007	0.96840441227
5	0.0	1.0	0.0105985288334	0.00119135621669	0.990293443203
6	1.0	1.0	0.0090288068206	0.00195210171155	0.990519165993
7	2.0	1.0	0.00533124047186	0.00238988940483	0.991647839546
8	3.0	1.0	0.00908694514979	0.00423433806514	0.989616274834
9	4.0	1.0	0.00924973099162	0.00297121356351	0.990067720413
