	seed	fold	fnr	fpr	acc
0	0.0	0.0	0.0156573151271	0.0393608899766	0.975420415401
1	1.0	0.0	0.0146092278834	0.0273113528374	0.981149494648
2	2.0	0.0	0.0140291780907	0.0234389514022	0.98281276226
3	3.0	0.0	0.0130730981049	0.0293475050048	0.981149494648
4	4.0	0.0	0.0115289692764	0.0268883181536	0.982073545456
5	0.0	1.0	0.0	0.00386412513993	0.997967123985
6	1.0	1.0	3.58464334613e-05	0.00421455960146	0.997782289982
7	2.0	1.0	0.0	0.00140641071289	0.999445557594
8	3.0	1.0	0.0	0.00488739384736	0.99741268158
9	4.0	1.0	0.00417013523217	0.00285954573847	0.996303796768
10	0.0	2.0	0.00100488369452	0.00100315271936	0.99870634079
11	1.0	2.0	0.0	0.00316231949175	0.99870634079
12	2.0	2.0	0.00044574606733	0.00133753710057	0.998891174793
13	3.0	2.0	0.0	0.000320053492794	0.999630391598
14	4.0	2.0	0.000418375688189	0.00101748349153	0.999260783195
15	0.0	3.0	0.00495165055271	0.00428357156929	0.993900179863
16	1.0	3.0	0.00539508190476	0.00428357156929	0.99371534586
17	2.0	3.0	0.00539508190476	0.00428357156929	0.99371534586
18	3.0	3.0	0.00539508190476	0.00428357156929	0.99371534586
19	4.0	3.0	0.00539508190476	0.00428357156929	0.99371534586
