	seed	fold	fnr	fpr	acc
0	0.0	0.0	0.0550988758359	0.031227176955	0.95689457655
1	1.0	0.0	0.0485814293756	0.0382610916985	0.959377110004
2	2.0	0.0	0.0432148078974	0.0478618164931	0.958023011684
3	3.0	0.0	0.0392691051557	0.0456991702274	0.961182594299
4	4.0	0.0	0.039104701695	0.0453446411319	0.961182594299
5	0.0	1.0	0.0159425864339	0.0247172817399	0.975846529007
6	1.0	1.0	0.0139694080372	0.0239647989343	0.977878093719
7	2.0	1.0	0.0160589968589	0.0235706410467	0.976975142956
8	3.0	1.0	0.0136667363116	0.0271252275883	0.976523697376
9	4.0	1.0	0.0133233227363	0.0280210395301	0.976297974586
