epoch,binary_accuracy,false_negative,false_positive,loss,true_negative,true_positive,val_binary_accuracy,val_false_negative,val_false_positive,val_loss,val_true_negative,val_true_positive
0,0.8569902777671814,610.5655517578125,401.942626953125,0.3526492714881897,2406.376953125,2730.901611328125,0.9206505417823792,68.04878234863281,99.53658294677734,0.23804141581058502,812.3170776367188,1119.0731201171875
1,0.9348611831665039,189.17213439941406,218.41802978515625,0.18712085485458374,2582.204833984375,3159.99169921875,0.9450468420982361,25.634145736694336,92.63414764404297,0.16195344924926758,819.219482421875,1161.48779296875
2,0.9617217183113098,98.8770523071289,142.8360595703125,0.11043576896190643,2693.07373046875,3215.0,0.9524396061897278,16.0,79.41463470458984,0.14719662070274353,832.4390258789062,1171.1219482421875
3,0.9768359065055847,44.8278694152832,85.40164184570312,0.07082566618919373,2738.336181640625,3281.22119140625,0.9553967714309692,65.75609588623047,31.268293380737305,0.12276335060596466,880.5853881835938,1121.3658447265625
4,0.985953688621521,32.25409698486328,61.76229476928711,0.04309667646884918,2739.065673828125,3316.704833984375,0.929029107093811,139.46340942382812,15.585366249084473,0.24307240545749664,896.268310546875,1047.6585693359375
5,0.9912928938865662,28.778688430786133,38.99180221557617,0.03087693639099598,2793.458984375,3288.557373046875,0.9652538299560547,48.65853500366211,26.487804412841797,0.10488478094339371,885.3658447265625,1138.46337890625
6,0.9953178763389587,10.827868461608887,21.73770523071289,0.018964536488056183,2790.50830078125,3326.713134765625,0.971168041229248,34.46341323852539,30.682926177978516,0.0890979990363121,881.1707153320312,1152.6585693359375
7,0.997700035572052,3.704918146133423,7.573770523071289,0.012310157530009747,2786.8525390625,3351.65576171875,0.971168041229248,21.780487060546875,42.34146499633789,0.09213612973690033,869.51220703125,1165.3414306640625
8,0.9986857175827026,1.7295081615447998,5.0,0.007715287152677774,2777.7294921875,3365.327880859375,0.9733859300613403,26.829267501831055,30.317073822021484,0.09417586773633957,881.5365600585938,1160.292724609375
0,0.9989321231842041,0.04918032884597778,5.360655784606934,0.008464260026812553,2800.91796875,3343.458984375,0.9709216356277466,19.04878044128418,43.19512176513672,0.11071272939443588,868.6585083007812,1168.0731201171875
1,0.9986857175827026,1.7131147384643555,3.950819730758667,0.006725668907165527,2795.73779296875,3348.38525390625,0.9642680883407593,14.195121765136719,59.75609588623047,0.1452031135559082,852.0975341796875,1172.9268798828125
2,0.9995892643928528,0.0,1.7540984153747559,0.004166717641055584,2807.672119140625,3340.360595703125,0.9731394648551941,20.268293380737305,38.04878234863281,0.10174939781427383,873.8048706054688,1166.8536376953125
3,0.9999178647994995,0.0,0.4590163826942444,0.0021548313088715076,2810.34423828125,3338.983642578125,0.9731394648551941,19.414634704589844,36.39024353027344,0.11385689675807953,875.4634399414062,1167.707275390625
